name,alt_name,swatch_image_url,path_to_image,path_to_returned_color,most_common_hex,most_common_rgb
Cobalt Teal Bluish,#6000817,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Teal_Bluish_Swatch.jpg,./images/cobalt_teal_bluish_swatch.jpg,./returned_colors/cobalt_teal_bluish_returned.jpg,#13a695,"[19, 166, 149]"
Cobalt Teal Greenish,#6000786,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Teal_Greenish_Swatch.jpg,./images/cobalt_teal_greenish_swatch.jpg,./returned_colors/cobalt_teal_greenish_returned.jpg,#4da695,"[77, 166, 149]"
Cobalt Turqoise Bluish,#6000907,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Turquoise_Bluish_Swatch.jpg,./images/cobalt_turqoise_bluish_swatch.jpg,./returned_colors/cobalt_turqoise_bluish_returned.jpg,#203c70,"[32, 60, 112]"
Cobalt Turqoise Greenish,#6000887,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Turquoise_Greenish_Swatch.jpg,./images/cobalt_turqoise_greenish_swatch.jpg,./returned_colors/cobalt_turqoise_greenish_returned.jpg,#2a5a71,"[42, 90, 113]"
Cobalt Violet Deep,#6000748,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Violet_Deep_Swatch.jpg,./images/cobalt_violet_deep_swatch.jpg,./returned_colors/cobalt_violet_deep_returned.jpg,#2f1e51,"[47, 30, 81]"
Cobalt Violet Light,#6000728,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Violet_Light_Swatch.jpg,./images/cobalt_violet_light_swatch.jpg,./returned_colors/cobalt_violet_light_returned.jpg,#722153,"[114, 33, 83]"
Cobalt Yellow,#6000508,https://goldenhub.goldenpaints.com/storage/uploads/Cobalt_Yellow_Swatch.jpg,./images/cobalt_yellow_swatch.jpg,./returned_colors/cobalt_yellow_returned.jpg,#d8b223,"[216, 178, 35]"
Cold Black,#6001732,https://goldenhub.goldenpaints.com/storage/uploads/Cold_Black_Swatch.jpg,./images/cold_black_swatch.jpg,./returned_colors/cold_black_returned.jpg,#182023,"[24, 32, 35]"
Courbet Green,#6001323,https://goldenhub.goldenpaints.com/storage/uploads/Courbet_Green_Swatch.jpg,./images/courbet_green_swatch.jpg,./returned_colors/courbet_green_returned.jpg,#1a2923,"[26, 41, 35]"
Cyprus Orange,#6001512,https://goldenhub.goldenpaints.com/storage/uploads/Cyprus_Orange_Swatch.jpg,./images/cyprus_orange_swatch.jpg,./returned_colors/cyprus_orange_returned.jpg,#955b26,"[149, 91, 38]"
Davy's Grey Deep,#6001701,https://goldenhub.goldenpaints.com/storage/uploads/Davy's_Grey_Deep_Swatch.jpg,./images/davy's_grey_deep_swatch.jpg,./returned_colors/davy's_grey_deep_returned.jpg,#222725,"[34, 39, 37]"
Dianthus Pink,#6000724,https://goldenhub.goldenpaints.com/storage/uploads/Dianthus_Pink_Swatch.jpg,./images/dianthus_pink_swatch.jpg,./returned_colors/dianthus_pink_returned.jpg,#e9a2ad,"[233, 162, 173]"
Dutch Brown (Transparent),#6001494,https://goldenhub.goldenpaints.com/storage/uploads/Dutch_Brown_(Transparent)_Swatch.jpg,./images/dutch_brown_(transparent)_swatch.jpg,./returned_colors/dutch_brown_(transparent)_returned.jpg,#1e1e1e,"[30, 30, 30]"
Earth Green,#6001122,https://goldenhub.goldenpaints.com/storage/uploads/Earth_Green_Swatch.jpg,./images/earth_green_swatch.jpg,./returned_colors/earth_green_returned.jpg,#323b1d,"[50, 59, 29]"
Egyptian Violet,#6000805,https://goldenhub.goldenpaints.com/storage/uploads/Egyptian_Violet_Swatch.jpg,./images/egyptian_violet_swatch.jpg,./returned_colors/egyptian_violet_returned.jpg,#1b1a2d,"[27, 26, 45]"
Fanchon Red,#6000624,https://goldenhub.goldenpaints.com/storage/uploads/Fanchon_Red_Swatch.jpg,./images/fanchon_red_swatch.jpg,./returned_colors/fanchon_red_returned.jpg,#c23a21,"[194, 58, 33]"
Flake White,#6000104,https://goldenhub.goldenpaints.com/storage/uploads/Flake_White_Swatch.jpg,./images/flake_white_swatch.jpg,./returned_colors/flake_white_returned.jpg,#f7f3d6,"[247, 243, 214]"
French Ardoise Gray,#6000050,https://goldenhub.goldenpaints.com/storage/uploads/French_Ardoise_Grey_Swatch.jpg,./images/french_ardoise_gray_swatch.jpg,./returned_colors/french_ardoise_gray_returned.jpg,#8a806b,"[138, 128, 107]"
French Brown Ochre,#6000044,https://goldenhub.goldenpaints.com/storage/uploads/French_Brown_Ochre_Swatch.jpg,./images/french_brown_ochre_swatch.jpg,./returned_colors/french_brown_ochre_returned.jpg,#4b3b2a,"[75, 59, 42]"
French Burnt Ochre,#6000046,https://goldenhub.goldenpaints.com/storage/uploads/French_Burnt_Ochre_Swatch.jpg,./images/french_burnt_ochre_swatch.jpg,./returned_colors/french_burnt_ochre_returned.jpg,#3e3024,"[62, 48, 36]"
French Burnt Umber,#6000045,https://goldenhub.goldenpaints.com/storage/uploads/French_Burnt_Umber_Swatch.jpg,./images/french_burnt_umber_swatch.jpg,./returned_colors/french_burnt_umber_returned.jpg,#312f29,"[49, 47, 41]"
French Light Sienna,#6000051,https://goldenhub.goldenpaints.com/storage/uploads/French_Light_Sienna_Swatch.jpg,./images/french_light_sienna_swatch.jpg,./returned_colors/french_light_sienna_returned.jpg,#6a5b35,"[106, 91, 53]"
French Ochre Havane,#6000042,https://goldenhub.goldenpaints.com/storage/uploads/French_Ochre_Havane_Swatch.jpg,./images/french_ochre_havane_swatch.jpg,./returned_colors/french_ochre_havane_returned.jpg,#9e6739,"[158, 103, 57]"
French Raw Sienna,#6000041,https://goldenhub.goldenpaints.com/storage/uploads/French_Raw_Sienna_Swatch.jpg,./images/french_raw_sienna_swatch.jpg,./returned_colors/french_raw_sienna_returned.jpg,#896332,"[137, 99, 50]"
French Raw Umber,#6000047,https://goldenhub.goldenpaints.com/storage/uploads/French_Raw_Umber_Swatch.jpg,./images/french_raw_umber_swatch.jpg,./returned_colors/french_raw_umber_returned.jpg,#48422f,"[72, 66, 47]"
French Rouge Indian,#6000043,https://goldenhub.goldenpaints.com/storage/uploads/French_Rouge_Indien_Swatch.jpg,./images/french_rouge_indian_swatch.jpg,./returned_colors/french_rouge_indian_returned.jpg,#733f2f,"[115, 63, 47]"
French Terre Verte,#6000052,https://goldenhub.goldenpaints.com/storage/uploads/French_Terre_Verte_Swatch.jpg,./images/french_terre_verte_swatch.jpg,./returned_colors/french_terre_verte_returned.jpg,#517665,"[81, 118, 101]"
French Yellow Ochre Deep,#6000040,https://goldenhub.goldenpaints.com/storage/uploads/French_Yellow_Ochre_Deep_Swatch.jpg,./images/french_yellow_ochre_deep_swatch.jpg,./returned_colors/french_yellow_ochre_deep_returned.jpg,#9e6e2d,"[158, 110, 45]"
German Earth,#6001792,https://goldenhub.goldenpaints.com/storage/uploads/German_Earth_Swatch.jpg,./images/german_earth_swatch.jpg,./returned_colors/german_earth_returned.jpg,#171c1b,"[23, 28, 27]"
Graphite Gray,#6001702,https://goldenhub.goldenpaints.com/storage/uploads/Graphite_Grey_Swatch.jpg,./images/graphite_gray_swatch.jpg,./returned_colors/graphite_gray_returned.jpg,#30322e,"[48, 50, 46]"
Green Gold,#6000518,https://goldenhub.goldenpaints.com/storage/uploads/Green_Gold_Swatch.jpg,./images/green_gold_swatch.jpg,./returned_colors/green_gold_returned.jpg,#23310e,"[35, 49, 14]"
Indanthrone Blue,#6000985,https://goldenhub.goldenpaints.com/storage/uploads/Indanthrone_Blue_Swatch.jpg,./images/indanthrone_blue_swatch.jpg,./returned_colors/indanthrone_blue_returned.jpg,#0b1246,"[11, 18, 70]"
Indian Yellow,#6000524,https://goldenhub.goldenpaints.com/storage/uploads/Indian_Yellow_Swatch.jpg,./images/indian_yellow_swatch.jpg,./returned_colors/indian_yellow_returned.jpg,#e1900a,"[225, 144, 10]"
Indigo,#6001043,https://goldenhub.goldenpaints.com/storage/uploads/Indigo_Swatch.jpg,./images/indigo_swatch.jpg,./returned_colors/indigo_returned.jpg,#18272d,"[24, 39, 45]"
Interference Blue,#6001803,https://goldenhub.goldenpaints.com/storage/uploads/Interference_Blue_Swatch.jpg,./images/interference_blue_swatch.jpg,./returned_colors/interference_blue_returned.jpg,#b8c0c9,"[184, 192, 201]"
Interference Green,#6001893,https://goldenhub.goldenpaints.com/storage/uploads/Interference_Green_Swatch.jpg,./images/interference_green_swatch.jpg,./returned_colors/interference_green_returned.jpg,#dddbb5,"[221, 219, 181]"
Interference Red,#6001873,https://goldenhub.goldenpaints.com/storage/uploads/Interference_Red_Swatch.jpg,./images/interference_red_swatch.jpg,./returned_colors/interference_red_returned.jpg,#d8ba9e,"[216, 186, 158]"
Interference Violet,#6001813,https://goldenhub.goldenpaints.com/storage/uploads/Interference_Violet_Swatch.jpg,./images/interference_violet_swatch.jpg,./returned_colors/interference_violet_returned.jpg,#c9b5b9,"[201, 181, 185]"
Iridescent Bronze,#6001853,https://goldenhub.goldenpaints.com/storage/uploads/Iridescent_Bronze_Swatch.jpg,./images/iridescent_bronze_swatch.jpg,./returned_colors/iridescent_bronze_returned.jpg,#786644,"[120, 102, 68]"
Iridescent Copper,#6001883,https://goldenhub.goldenpaints.com/storage/uploads/Iridescent_Copper_Swatch.jpg,./images/iridescent_copper_swatch.jpg,./returned_colors/iridescent_copper_returned.jpg,#914b31,"[145, 75, 49]"
Iridescent Pale Gold,#6001823,https://goldenhub.goldenpaints.com/storage/uploads/Iridescent_Pale_Gold_Swatch.jpg,./images/iridescent_pale_gold_swatch.jpg,./returned_colors/iridescent_pale_gold_returned.jpg,#eac66e,"[234, 198, 110]"
Iridescent Pearl White,#6001863,https://goldenhub.goldenpaints.com/storage/uploads/Iridescent_Pearl_White_Swatch.jpg,./images/iridescent_pearl_white_swatch.jpg,./returned_colors/iridescent_pearl_white_returned.jpg,#e4ddc9,"[228, 221, 201]"
Iridescent Pewter,#6001843,https://goldenhub.goldenpaints.com/storage/uploads/Iridescent_Pewter_Swatch.jpg,./images/iridescent_pewter_swatch.jpg,./returned_colors/iridescent_pewter_returned.jpg,#666565,"[102, 101, 101]"
Iridescent Silver,#6001833,https://goldenhub.goldenpaints.com/storage/uploads/Iridescent_Silver_Swatch.jpg,./images/iridescent_silver_swatch.jpg,./returned_colors/iridescent_silver_returned.jpg,#7c7977,"[124, 121, 119]"
Italian Black Roman Earth,#6000022,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Black_Roman_Earth_Swatch.jpg,./images/italian_black_roman_earth_swatch.jpg,./returned_colors/italian_black_roman_earth_returned.jpg,#1f2322,"[31, 35, 34]"
Italian Burnt Sienna,#6000023,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Burnt_Sienna_Swatch.jpg,./images/italian_burnt_sienna_swatch.jpg,./returned_colors/italian_burnt_sienna_returned.jpg,#63341c,"[99, 52, 28]"
Italian Green Ochre,#6000017,https://goldenhub.goldenpaints.com/storage/uploads/Italian_Green_Ochre_Swatch.jpg,./images/italian_green_ochre_swatch.jpg,./returned_colors/italian_green_ochre_returned.jpg,#73582b,"[115, 88, 43]"
